Make,Model,Logo,janv-12,Feb-12,mars-12,Apr-12,May-12,juin-12,juil-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,janv-13,Feb-13,mars-13,Apr-13,May-13,juin-13,juil-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,janv-14,Feb-14,mars-14,Apr-14,May-14,juin-14,juil-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,janv-15,Feb-15,mars-15,Apr-15,May-15,juin-15,juil-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,janv-16,Feb-16,mars-16,Apr-16,May-16,juin-16,juil-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,janv-17,Feb-17,mars-17,Apr-17,May-17,juin-17,juil-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,janv-18,Feb-18,mars-18,Apr-18,May-18,juin-18,juil-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,janv-19,Feb-19,mars-19,Apr-19,May-19,juin-19,juil-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
Chevrolet,Volt,https://www.carlogos.org/logo/Chevrolet-logo-2013-2560x1440.png,603,1626,3915,5377,7057,8817,10666,13497,16348,19309,20828,23461,24601,26227,27705,29011,30618,33316,35104,38455,40221,42243,44163,46555,47473,48683,50161,51709,53393,55170,57190,59701,61095,62534,63870,65360,65902,66595,67234,68139,69757,70982,72295,73675,74624,76659,78639,80753,81749,82875,84740,86723,88624,90561,92967,95048,97079,99270,101801,105492,107103,108923,111055,112862,114679,116424,117942,119387,120840,122202,123904,125841,126554,127537,129319,130644,132319,133655,135130,136955,139084,140559,143089,144147,144822,145437,146667,147072,147481,147813,148063,148337,148687,148757,148907,149057
Toyota,Prius PHV,https://www.carlogos.org/logo/Toyota-logo-1989-2560x1440.png,0,21,912,2566,3652,4347,5035,6082,7734,9623,11389,12750,13624,14317,15103,15702,16380,16964,17781,19572,20724,22819,23919,24838,25641,26682,28134,29875,32567,34138,35509,36327,36680,37159,37610,38102,38503,38900,39373,39801,40528,40992,41576,41920,42136,42227,42271,42293,42303,42309,42316,42320,42324,42335,42339,42341,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345,42345
Nissan,Leaf,https://www.carlogos.org/logo/Nissan-logo-2013-1440x900.png,676,1154,1733,2103,2613,3148,3543,4228,5212,6791,8330,9819,10469,11122,13358,15295,17433,19658,21522,23942,25895,27897,29900,32429,33681,35106,37613,39701,42818,45165,48184,51370,54251,56840,59527,62629,63699,64897,66714,68267,70371,72445,73619,75012,76259,77497,78551,79898,80653,81583,82829,83616,84595,85691,86754,87820,89136,90548,92005,93904,94676,95713,97191,98254,99646,101152,102435,103589,104644,104857,105032,105134,105284,106179,107679,108850,110426,111793,112942,114257,115820,117054,118182,119849,120566,121220,122534,123485,124701,125857,126795,127912,128960,129847,130987,132214
Tesla,Model S,https://www.carlogos.org/logo/Tesla-logo-2003-2500x2500.png,0,,,,,12,31,74,160,460,860,2650,3850,5250,7550,9650,11350,12700,14000,15300,16800,17600,18800,20300,21100,22189,23489,24589,25589,27089,27889,28489,30989,32289,33489,36989,38089,39239,41689,43389,45789,48589,50189,51489,53989,55889,58591,62191,63041,64591,68581,69381,70581,74281,76235,79087,83437,84137,85237,91087,91987,93737,97187,98312,99932,102282,103707,105857,110717,111837,113172,118147,118947,120072,123447,124697,126217,128967,130167,132792,136542,137892,140642,143892,144617,145242,147517,148342,149367,151117,152092,153142,154242,154992,156492,157992
Ford,C-Max Energi,https://www.carlogos.org/logo/Ford-logo-2003-1366x768.png,0,,,,,,,,,144,1403,2374,2712,3046,3540,3951,4401,4856,5289,5910,6668,7760,8701,9528,9999,10551,11161,11686,12468,13456,14287,15337,16014,16658,17302,17961,18356,18854,19569,20122,20837,21504,22197,22920,23639,24334,24973,25552,25902,26392,27002,27609,28147,28777,29532,30239,30928,31499,32220,33509,33982,34621,35283,36003,36953,37889,38733,39438,40121,40690,41213,41649,41883,42025,42130,42187,42205,42211,42215,42219,42231,42231,42231,42231,42231,42231,42231,42231,42231,42231,42231,42231,42231,42231,42231,42231
Ford,Focus Electric,https://www.carlogos.org/logo/Ford-logo-2003-1366x768.png,2,2,2,2,8,97,135,169,228,346,518,680,761,919,1099,1246,1403,1580,1730,1905,2015,2130,2260,2418,2518,2647,2824,2940,3117,3314,3512,3776,3952,4138,4329,4382,4467,4612,4752,4876,5041,5193,5328,5504,5649,5775,5868,5964,6030,6111,6221,6302,6356,6410,6468,6543,6625,6698,6764,6865,6921,7149,7556,7681,7813,7923,8071,8202,8333,8448,8569,8682,8752,8825,8962,9045,9133,9183,9229,9236,9240,9240,9241,9242,9242,9242,9242,9242,9242,9242,9242,9242,9242,9242,9242,9242
Mitsubishi,i-MiEV,https://www.carlogos.org/logo/Mitsubishi-logo-2000x2500.png,36,80,136,215,300,333,366,403,439,469,511,588,845,1182,1213,1340,1431,1470,1516,1546,1566,1594,1606,1617,1618,1621,1645,1657,1692,1714,1731,1751,1766,1783,1801,1813,1816,1818,1828,1844,1862,1885,1897,1903,1906,1915,1919,1928,1930,1935,1936,1942,1944,1948,1968,1993,2010,2014,2019,2022,2023,2026,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028
Toyota,Rav4 EV,https://www.carlogos.org/logo/Toyota-logo-1989-2560x1440.png,0,,,,,,,,61,108,140,192,217,269,402,472,556,600,709,940,1107,1198,1260,1288,1351,1452,1525,1594,1743,1834,1902,2130,2255,2352,2435,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472,2472
Honda,Fit EV,https://www.carlogos.org/logo/Honda-logo-1920x1080.png,0,,,,,,7,16,32,48,74,93,101,116,139,161,176,384,447,513,548,588,611,662,692,725,762,812,845,883,925,980,1009,1032,1037,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069
Ford,Fusion Energi,https://www.carlogos.org/logo/Ford-logo-2003-1366x768.png,0,,,,,,,,,,,,,119,414,778,1194,1584,1991,2591,3341,4428,5298,6089,6622,7401,8300,9043,10385,12324,13550,14772,15412,16098,16850,17639,18065,18668,19505,20216,21202,21929,22781,23730,24538,25387,26331,27389,27970,28902,30140,31471,32924,34624,35965,37387,39039,40411,42228,43327,43933,44770,45772,46677,47677,48384,49087,49849,50612,51353,52084,52959,53599,54393,55175,55917,56657,57261,57783,58179,58659,59112,60243,61033,61590,62163,62774,63359,63964,64639,65359,65979,66679,67279,67879,68557
Fiat,500e,https://www.carlogos.org/logo/Fiat-logo-2006-1920x1080.png,0,,,,,,,,,,,,,,,,,,200,560,1010,1410,1840,2310,2620,2956,3600,4042,4518,5154,5682,6217,6735,6952,7163,7442,7701,8016,9326,10043,10463,10826,11311,11921,12556,12981,13371,13636,13941,14151,14606,15001,15426,15706,15931,16291,16981,17726,18316,18966,19718,20308,21093,21634,22107,22466,22861,23151,23436,23746,23961,24346,24556,24791,25076,25291,25541,25766,25986,26061,26155,26255,26403,26596,26668,26755,26788,26808,26868,26893,26933,26978,27018,27068,27118,27211
Smart,ED,https://www.carlogos.org/logo/Smart-logo-1994-1366x768.png,0,,,,,,,,,,,,2,2,2,2,62,115,173,355,492,603,756,923,1020,1142,1328,1531,1737,2015,2313,2521,2703,2853,3166,3517,3664,3740,3843,3967,4069,4163,4272,4378,4472,4547,4725,4904,4952,5006,5076,5142,5217,5270,5332,5387,5431,5474,5521,5561,5576,5598,5611,5614,5615,5618,5618,5712,5835,5908,5976,6105,6189,6279,6382,6462,6572,6698,6801,6909,7007,7102,7202,7324,7407,7465,7555,7640,7746,7820,7876,7950,8004,8004,8004,8004
Chevrolet,Spark EV,https://www.carlogos.org/logo/Chevrolet-logo-2013-2560x1440.png,,,,,,,,,,,,,,,,,,27,130,232,310,376,463,539,632,703,811,908,1090,1175,1303,1383,1434,1492,1553,1684,1770,1889,2040,2960,3243,3469,3526,3661,3818,3995,4161,4313,4452,4668,4920,5339,5733,6092,6425,6717,7032,7292,7331,7348,7352,7356,7359,7360,7360,7361,7362,7362,7362,7362,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369
Honda,Accord PHV,https://www.carlogos.org/logo/Honda-logo-1920x1080.png,,,,,,,,,,,,,2,19,45,100,158,200,254,298,349,420,488,526,553,577,595,632,678,706,747,793,835,869,912,975,1003,1015,1020,1025,1030,1034,1035,1037,1037,1037,1038,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039
Porsche,Panamera E-Hybrid,https://www.carlogos.org/logo/Porsche-logo-2008-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,35,39,86,227,284,340,403,456,567,630,698,780,877,934,965,1026,1066,1110,1140,1161,1195,1218,1254,1295,1323,1356,1372,1399,1432,1455,1480,1506,1528,1549,1608,1636,1674,1762,1765,1767,1768,1771,1773,1774,1774,1774,1775,1776,1778,1783,1783,1784,1786,1835,2171,2446,2614,2809,3009,3219,3389,3589,3819,3969,4129,4324,4479,4649,4844,5009,5174,5349,5522,5695,5879
Cadillac,ELR,https://www.carlogos.org/logo/Cadillac-logo-2014-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,6,47,105,186,247,299,396,584,780,891,1043,1198,1316,1408,1535,1627,1731,1847,1909,1975,2020,2056,2138,2205,2340,2407,2498,2602,2697,2742,2836,2851,2857,2863,2866,2871,2874,2877,2877,2879,2881,2881,2888,2890,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891,2891
BMW,i3,https://www.carlogos.org/logo/BMW-logo-2000-2048x2048.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,694,1057,2082,3104,4263,5079,6092,6762,7851,8773,9179,9997,10548,11483,12275,13985,14971,15694,17116,17298,17546,17878,18692,19388,19996,21475,22488,22879,23321,23950,24741,25123,25441,26144,26660,27166,27733,28334,28838,29376,30062,30345,31017,31399,32022,33014,33517,33941,34521,34985,35403,35864,36288,36778,37134,37389,37739,38098,38429,38868,39341,39645,40030,40497,40856,41774,41988
Mercedes,B-Class ED,https://www.carlogos.org/logo/Mercedes-Benz-logo-2011-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,92,157,255,448,774,1014,1123,1268,1426,1704,1946,2142,2314,2461,2542,2583,2680,2738,2775,2841,2897,2946,2990,3040,3097,3148,3206,3258,3312,3365,3421,3471,3537,3583,3629,3710,3768,3855,3914,3945,4056,4096,4145,4178,4185,4188,4188,4188,4189,4189,4190,4190,4191,4192,4194,4194,4195,4195,4197,4198,4199,4199,4200,4200,4200
BMW,i8,https://www.carlogos.org/logo/BMW-logo-2000-2048x2048.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,67,271,397,555,640,753,896,1034,1151,1288,1505,1715,1897,2046,2164,2820,2852,2906,2995,3125,3271,3440,3606,3751,3909,4108,4281,4414,4464,4522,4571,4594,4612,4634,4689,4718,4745,4778,4822,4902,4934,4973,5020,5077,5141,5186,5258,5325,5380,5444,5577,5674,5697,5744,5835,5922,6067,6347,6448,6538,6606,6670,6725,6776
Kia,Soul EV,https://www.carlogos.org/logo/Kia-logo-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,249,359,428,476,539,612,720,829,888,981,1086,1195,1278,1374,1455,1515,1594,1733,1853,1987,2166,2319,2536,2726,2905,3102,3219,3371,3542,3709,3838,3938,4083,4383,4638,4848,5055,5259,5374,5537,5694,5846,5979,6036,6166,6199,6217,6278,6339,6393,6393,6394,6396,6396,6397,6397,6398,6406,6471,6476,6479,6480
VW,e-Golf,https://www.carlogos.org/logo/Volkswagen-logo-2015-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,120,357,538,668,863,1172,1582,1875,2188,2569,2912,3508,3980,4589,4917,5115,5201,5527,5796,6044,6388,6842,7371,7778,8083,8526,8858,9151,9493,9800,10181,10413,10721,11038,11225,11428,11717,12060,12238,12436,12600,12728,12804,12836,12854,12886,12900,12962,13192,13414,13578,13696,14277,14677,14941,15307,15767,16456,17010,17647,18013,18277
Porsche,Cayenne S-E,https://www.carlogos.org/logo/Porsche-logo-2008-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,100,166,237,309,397,502,590,667,750,820,945,1066,1203,1349,1521,1765,2002,2193,2369,2517,2714,2845,2983,3162,3314,3491,3612,3738,3923,4097,4292,4452,4630,4754,4827,4865,4888,5001,5122,5319,5584,5643,5655,5670,5715,5775,5800,5835,5910,5975,6070,6185,6255,6360,6435,6530,6630,6735,6835,6940,7050
BMW,X5 xDrive40e,https://www.carlogos.org/logo/BMW-logo-2000-2048x2048.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,285,892,1073,1418,1731,2386,2886,3469,4118,4994,5476,5882,6318,6887,7149,7424,7821,8112,8545,9033,9496,9813,10146,10475,11404,12236,12497,13093,13720,14283,14782,15103,15534,15798,16023,16247,16460,16670,16741,16779,16805,16814,16818,16826,16830,16832,16833,16835,16836,16837
Tesla,Model X,https://www.carlogos.org/logo/Tesla-logo-2003-2500x2500.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,15,214,484,754,2614,3409,5009,7154,7904,9737,12937,13662,14562,18437,19187,19987,22737,23452,25182,27382,29032,30607,33727,34577,36452,39752,40452,41427,44252,45277,46727,49277,50602,53352,57327,58552,61752,65852,66627,67527,69702,70752,72127,74852,76077,77902,79577,81077,83077,85077
Porsche,918 Spyder,https://www.carlogos.org/logo/Porsche-logo-2008-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,48,58,86,106,135,175,197,201,201,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203
Hyundai,Sonata PHEV,https://www.carlogos.org/logo/Hyundai-logo-silver-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,160,335,535,810,1060,1295,1520,1895,2130,2390,2645,2930,3255,3445,3620,3915,4195,4415,4670,4875,5060,5250,5460,5595,5790,5842,5896,5974,6012,6079,6141,6201,6221,6236,6241,6246,6250,6254,6325,6332,6378,6418,6448,6483,6523,6568,6614,6659,6713
Mercedes,S550e,https://www.carlogos.org/logo/Mercedes-Benz-logo-2011-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,37,62,83,118,137,173,185,214,241,268,300,330,371,545,597,668,723,774,834,915,998,1079,1203,1235,1270,1286,1308,1334,1347,1350,1361,1370,1377,1384,1392,1402,1410,1415,1419,1430,1438,1448,1470,1505,1556,1616,1666,1690,1706,1759,1784,1801
Volvo,XC90,https://www.carlogos.org/logo/Volvo-logo-2014-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,12,86,312,488,666,816,926,1092,1270,1446,1594,1736,1897,2101,2197,2280,2383,2528,2674,2876,3050,3315,3551,3725,3929,4297,4396,4502,4595,4685,4811,4944,5059,5184,5304,5404,5534,5684,5779,5884,6039,6139,6259,6429,6539,6664,6839,6839,6839,6839
Audi,A3 Sprtbk e-tron,https://www.carlogos.org/logo/Audi-logo-2009-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,376,619,951,1277,1638,1991,2340,2686,2998,3346,3740,4329,4716,5116,5530,5831,6125,6449,6667,6796,6881,6898,6936,7206,7351,7550,7764,7953,8220,8458,8678,8918,9148,9358,9538,9803,9978,10188,10233,10240,10240,10240,10240,10240,10240,10240,10240,10240
Other,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,19,24,28,32,32,32,32,32,34,34,34,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Toyota,Prius Prime,https://www.carlogos.org/logo/Toyota-logo-1989-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781,2422,3788,5150,6768,8587,10495,12114,13759,15579,17478,19104,20938,23358,24854,26904,29826,32452,35376,37613,39597,41668,43881,45882,48194,50953,52076,53281,55101,56500,58414,59558,62508,65008,66658,68976,71766,74583
BMW,330e,https://www.carlogos.org/logo/BMW-logo-2000-2048x2048.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,44,111,137,218,269,323,415,630,870,999,1143,1508,1768,2243,2739,3126,3535,3864,4171,4648,5011,5112,5254,5456,5622,5772,5910,6016,6208,6403,6632,7005,7611,7827,8012,8187,8240,8267,8292,8308,8313,8315,8320,8326,8330
Chevrolet,Bolt EV,https://www.carlogos.org/logo/Chevrolet-logo-2013-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579,1741,2693,3671,4963,6529,8171,10142,12249,14881,17662,20649,23876,25053,26477,28251,29526,30651,31734,32909,34134,35683,37658,40483,41895,42820,44045,46211,47121,48517,50176,51161,52881,55006,56313,57313,58313
Mercedes,GLE 550e,https://www.carlogos.org/logo/Mercedes-Benz-logo-2011-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,49,73,99,118,148,231,283,342,389,425,458,499,526,549,563,571,612,694,738,808,989,1082,1165,1240,1325,1415,1457,1485,1520,1660,1752,1847,1957,2107,2292,2472,2642,2747,2812,2991,3101,3169
Mercedes,C350e,https://www.carlogos.org/logo/Mercedes-Benz-logo-2011-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,381,432,449,452,459,459,571,783,909,958,974,988,1017,1189,1397,1555,1721,1897,2062,2232,2314,2389,2469,2709,2849,2994,3129,3302,3517,3752,3982,4172,4302,4544,4744,4881
BMW,740e,https://www.carlogos.org/logo/BMW-logo-2000-2048x2048.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,41,76,118,241,274,326,406,445,488,543,663,730,748,771,802,862,879,895,935,953,978,1023,1041,1069,1075,1089,1104,1112,1124,1130,1132,1140,1145,1149,1153,1156
Chrysler,Pacifica Hybrid,https://www.carlogos.org/logo/Chrysler-logo-2010-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,347,1052,1407,1532,1957,2432,3307,3877,4597,4972,5422,5902,6327,6977,7687,8137,8791,9428,10051,10946,11659,12095,12684,13067,13414,13804,14195,14580,14975,15390,15990,16590,17382
BMW,530e,https://www.carlogos.org/logo/BMW-logo-2000-2048x2048.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,160,399,742,1087,1598,2194,3066,3772,3996,4409,5098,5616,6345,7287,7823,8572,9328,10061,11073,12436,12812,13226,13662,14078,14805,15713,16157,16763,17073,17378,17799,18298
Tesla,Model 3,https://www.carlogos.org/logo/Tesla-logo-2003-2500x2500.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,105,222,367,704,1764,3639,6124,9944,13694,19694,25596,39846,57646,79896,97646,116296,141546,148046,153796,163971,174021,187971,209196,221746,234096,253196,270471,285471,300471
Kia,Optima PHEV,https://www.carlogos.org/logo/Kia-logo-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,71,141,227,312,390,520,702,930,1165,1378,1512,1598,1701,1857,1999,2097,2180,2270,2309,2326,2377,2456,2477,2507,2518,2526,2531,2531,2582,2617,2652,2702,2738,2770,2812
Honda,Clarity BEV,https://www.carlogos.org/logo/Honda-logo-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,49,101,135,594,1121,1274,1348,1396,1435,1469,1555,1657,1732,1840,1946,1983,2069,2147,2215,2307,2395,2477,2529,2576,2641,2676,2711,2766,2811
Honda,Clarity PHEV,https://www.carlogos.org/logo/Honda-logo-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,903,1507,2418,3549,4678,6317,7812,9354,10816,12813,14838,16735,19505,20697,21910,23221,24202,25018,26048,26848,27688,28088,28683,29478,30233
Volvo,XC60 PHEV,https://www.carlogos.org/logo/Volvo-logo-2014-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,78,175,275,357,531,640,795,962,1103,1317,1543,1728,1938,2153,2333,2558,2798,2888,2988,3113,3198,3293,3468,3608,3713,3893,3893,3893,3893
Mini,Countryman SE PHEV,https://www.carlogos.org/logo/Mini-logo-2001-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,85,171,251,307,403,475,602,702,776,882,1045,1256,1466,1594,1734,1851,1925,2039,2089,2152,2197,2234,2319,2363,2403,2453,2483,2508,2543,2563
Hyundai,IONIQ EV,https://www.carlogos.org/logo/Hyundai-logo-silver-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24,99,157,200,266,302,330,353,432,481,484,544,551,583,630,665,686,698,719,753,777,811,843,871,880,941,1003,1058,1098,1168,9629,9723,9796
Cadillac,CT6 PHEV,https://www.carlogos.org/logo/Cadillac-logo-2014-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,24,44,66,89,116,143,172,207,213,237,254,296,326,344,370,393,404,416,429,438,446,447,450,452,452,454,456,458,461,461,461,461
Volvo,S90 T8 PHEV,https://www.carlogos.org/logo/Volvo-logo-2014-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,33,65,117,144,173,225,254,284,319,349,389,434,469,509,554,589,634,689,724,774,814,859,914,974,988,1001,1010
Mitsubishi,Outlander PHEV,https://www.carlogos.org/logo/Mitsubishi-logo-2000x2500.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,399,722,1095,1368,1665,2055,2405,2771,3149,3458,3834,4265,4398,4555,4896,5059,5291,5513,5726,6003,6179,6434,6806,7075
Kia,Niro PHEV,https://www.carlogos.org/logo/Kia-logo-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,401,628,748,966,1247,1472,1818,2131,2454,3073,3389,3668,4173,4403,4648,4977,5328,5653,5953,6328,6636,6961,7270
Mercedes,GLC 350e,https://www.carlogos.org/logo/Mercedes-Benz-logo-2011-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,62,121,185,251,311,376,403,423,447,567,641,713,888,1108,1372,1642,1907,2137,2317,2595,2837,3026
Jaguar,I-Pace,https://www.carlogos.org/logo/Jaguar-logo-2012-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,170,393,603,789,1001,1238,1466,1702,1915,2075,2235,2541,2811,2987
Hyundai,IONIQ PHEV,https://www.carlogos.org/logo/Hyundai-logo-silver-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,200,418,598,815,958,1138,1181,1192,1320,1456,1590,1663,1717,1811,1874,1937,2089,2194,2319,2454,2827,3043,3211
Hyundai,Kona Electric,https://www.carlogos.org/logo/Hyundai-logo-silver-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,143,220,311,427,577,707,897,1068,1254,1461
Audi,e-tron,https://www.carlogos.org/logo/Audi-logo-2009-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,1109,1835,2513,3106,3540,4002,4623,5369
Subaru,Crosstrek Hybrid,https://www.carlogos.org/logo/Subaru-logo-2003-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,79,126,191,261,376,466,586,721,842,970
Kia,Niro EV,https://www.carlogos.org/logo/Kia-logo-2560x1440.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,159,208,288,343,433,622,880,1166
Porsche,Taycan,https://www.carlogos.org/logo/Porsche-logo-2008-1920x1080.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130
